PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
83,7,21,C,C,29,88,22,D,56,E,D
66,21,77,B,C,83,43,64,C,48,C,D
54,92,18,A,C,69,62,15,A,47,E,C
84,35,94,A,B,51,91,28,C,91,D,B
29,88,75,C,E,54,82,89,B,9,E,B
7,45,25,B,A,35,78,60,B,27,A,C
80,39,91,B,A,91,63,1,C,76,E,B
43,99,34,B,A,96,59,19,A,21,D,D
5,17,4,C,E,83,37,28,D,18,B,A
61,3,19,B,C,97,26,20,D,70,E,A
93,52,15,D,D,83,51,60,C,74,B,B
1,55,22,A,D,12,7,74,D,9,A,A
21,6,2,C,A,30,40,48,A,75,D,D
45,72,54,E,C,16,62,38,A,5,B,A
16,27,31,B,C,97,78,51,C,5,D,E
58,48,33,D,C,67,15,65,D,80,E,D
95,23,92,A,C,71,46,61,A,70,A,A
65,4,76,A,B,57,41,35,E,43,E,A
76,64,36,C,C,38,53,47,D,42,B,E
2,83,82,E,D,28,87,57,D,52,D,A
12,11,29,E,B,26,43,44,A,52,C,E
92,70,92,D,A,86,22,43,B,79,E,B
21,60,45,A,D,90,94,66,B,97,B,B
81,12,95,D,D,66,97,97,E,59,D,E
17,12,78,A,A,2,94,45,C,30,A,E
54,75,39,C,D,13,2,16,D,39,E,A
81,44,86,A,D,98,84,32,B,23,A,D
78,45,84,E,C,51,81,9,D,22,D,A
16,85,75,D,A,89,43,74,B,96,C,E
88,53,34,E,A,30,10,40,B,66,D,E
62,27,3,A,B,5,94,0,A,27,B,E
53,82,46,E,D,89,79,39,B,63,E,E
52,28,85,E,B,66,80,97,C,7,E,B
27,5,28,E,B,2,30,6,A,58,B,C
59,35,52,C,A,53,28,80,C,24,D,E
90,94,85,E,C,44,6,40,B,30,D,B
42,99,18,A,A,67,65,39,D,8,C,D
59,0,39,A,E,85,30,81,B,85,A,E
14,40,32,D,A,1,32,83,A,46,C,C
68,85,45,E,A,49,31,42,C,40,C,E
24,44,78,E,D,30,10,20,A,89,C,B
58,74,69,A,C,44,15,97,C,43,B,B
22,68,35,C,D,37,3,65,D,63,E,D
6,26,57,B,D,12,6,92,D,20,D,A
42,81,45,E,A,23,51,49,B,77,C,A
91,20,71,D,B,11,86,73,C,67,A,E
45,93,98,D,E,80,48,58,E,56,A,D
23,80,92,B,A,61,41,71,C,48,C,C
12,32,3,D,B,89,80,53,C,6,E,A
83,44,4,C,A,37,50,32,C,17,D,B
75,18,56,A,D,33,1,41,C,85,A,E
71,59,34,A,D,36,62,13,B,13,E,B
28,10,46,A,E,50,73,65,A,64,D,B
13,30,37,B,D,53,14,70,E,94,E,D
45,37,9,A,A,26,23,77,E,54,B,D
58,64,2,B,E,13,81,88,A,80,D,C
75,1,99,E,A,68,98,50,B,59,A,C
31,15,33,A,E,59,15,41,C,73,A,C
89,10,61,C,E,96,26,49,C,79,B,D
57,27,72,E,A,33,27,99,E,54,E,C
67,63,4,A,E,66,97,96,A,31,B,E
13,47,53,B,A,59,92,51,B,64,A,E
3,35,80,E,E,22,33,11,D,19,A,E
23,10,6,C,D,46,72,71,D,93,A,A
3,72,85,D,A,43,29,96,B,87,E,A
25,67,63,E,E,17,21,39,A,38,B,E
80,1,9,A,B,83,81,55,A,10,A,E
27,3,72,A,D,82,65,84,A,0,B,D
97,2,29,B,D,2,91,93,E,90,B,A
56,16,31,A,D,17,35,48,B,39,D,B
38,58,8,B,A,81,55,41,E,54,D,C
6,22,93,A,A,10,43,65,A,8,B,E
27,0,20,E,A,75,84,13,A,39,A,D
84,2,28,D,C,0,52,6,C,76,A,E
51,38,85,B,C,69,73,88,E,93,B,A
57,75,72,D,D,55,69,62,B,11,D,A
50,89,82,B,D,11,34,76,B,98,E,A
42,56,68,B,E,36,41,62,D,89,B,D
77,9,82,E,E,8,49,90,B,79,C,B
26,61,83,B,C,92,42,49,C,73,E,B
85,93,82,B,B,30,8,99,A,22,C,B
50,39,91,C,C,37,61,97,A,10,E,E
6,84,63,D,C,78,29,40,A,89,A,E
66,16,19,B,C,45,91,72,E,44,A,A
90,98,0,D,A,26,45,11,E,95,A,C
15,81,55,E,B,17,22,96,B,81,E,B
83,32,54,A,C,79,66,84,C,38,C,A
45,66,43,D,B,70,17,17,C,70,B,C
35,95,24,E,C,87,73,74,A,51,A,D
4,88,19,C,B,72,58,89,C,93,B,A
34,96,23,A,A,67,2,45,C,74,E,B
16,84,75,A,D,4,27,97,A,74,A,A
46,5,23,B,C,46,73,30,D,50,D,B
7,33,24,B,B,95,77,31,A,7,A,E
10,99,1,C,E,69,78,62,C,33,D,C
36,58,97,C,D,68,3,85,C,52,A,E
47,97,87,B,C,87,4,97,B,18,A,A
38,6,97,D,B,82,7,62,A,94,A,A
36,31,34,A,E,90,71,48,E,29,B,A
13,27,9,E,A,14,12,72,B,93,D,E
32,67,60,A,B,14,72,94,C,91,D,D
2,98,48,A,E,17,47,19,B,9,B,D
24,22,34,B,E,3,57,91,C,80,B,C
96,51,66,E,D,66,87,79,C,19,E,B
38,38,75,D,D,96,14,30,E,94,D,D
45,18,6,E,B,37,98,39,B,6,B,B
53,68,45,D,A,57,14,32,D,44,A,B
46,74,92,C,D,3,51,40,E,74,D,B
34,96,68,D,B,94,25,43,A,43,E,A
36,80,71,E,D,25,64,78,B,99,A,C
82,26,71,D,A,60,62,92,A,51,A,B
84,71,14,D,B,85,21,20,C,11,A,E
67,30,59,C,D,40,56,84,B,44,E,C
90,82,58,A,E,28,95,37,A,76,B,A
62,29,72,D,D,98,28,55,D,15,E,E
72,36,53,A,B,79,92,91,D,29,A,D
2,60,64,E,E,5,46,44,A,37,E,D
48,29,2,E,C,11,54,36,E,55,D,D
20,39,81,E,E,75,32,62,C,71,D,A
53,54,84,B,C,75,60,84,E,6,C,E
26,48,10,C,D,43,86,73,E,6,B,E
30,15,42,B,D,10,72,55,E,51,B,D
74,36,33,E,B,87,83,64,A,18,B,E
20,93,76,B,B,97,86,90,E,34,E,B
29,34,1,C,E,0,46,4,B,21,C,E
32,72,17,B,E,52,79,89,D,86,C,A
82,25,47,E,C,75,9,81,A,72,E,B
55,8,54,C,C,41,66,5,B,89,C,B
73,55,73,D,C,23,85,26,D,93,C,B
2,32,83,B,E,2,62,59,D,73,B,E
45,55,49,A,D,52,32,90,B,10,E,A
25,85,94,D,A,18,60,74,C,96,B,E
59,76,41,B,D,0,60,82,D,21,D,A
67,68,51,C,D,30,94,75,B,67,C,A
15,90,44,D,C,2,8,76,A,30,B,E
87,66,14,A,C,78,77,71,A,44,B,D
76,80,25,B,E,6,97,85,C,42,D,C
21,2,61,B,D,58,62,58,E,10,D,D
35,25,25,E,B,53,58,96,D,6,E,A
23,19,46,D,C,35,79,98,E,76,E,C
57,46,42,A,A,63,26,80,E,82,B,D
80,15,75,E,E,85,82,6,B,76,B,C
89,61,2,A,D,44,31,13,E,62,A,B
26,61,95,A,C,60,8,9,B,47,E,E
98,70,16,C,E,58,76,36,C,72,C,B
43,45,9,A,C,10,51,64,E,27,B,C
14,55,78,E,E,99,57,91,B,33,E,E
27,52,37,E,E,34,89,97,A,66,A,D
54,34,69,C,C,20,67,99,D,18,A,E
26,98,55,A,B,20,69,63,C,88,D,C
68,6,70,C,B,78,84,32,B,25,A,C
21,34,6,E,B,28,10,57,E,13,A,D
7,70,23,B,A,9,67,26,A,3,C,E
27,81,50,C,E,49,91,67,B,64,D,B
69,9,56,E,D,48,14,71,D,55,B,B
96,64,65,C,C,68,81,3,D,39,B,D
63,78,64,A,A,57,22,16,A,47,E,E
18,48,39,C,D,23,84,11,B,12,B,B
70,5,70,E,C,95,24,62,C,26,D,D
56,57,80,B,B,47,83,32,C,1,C,B
8,74,70,B,A,80,69,75,E,73,B,D
14,11,89,D,B,37,60,4,A,7,C,C
53,72,53,B,E,57,62,82,A,95,E,E
63,46,53,D,C,76,95,24,E,49,C,E
1,25,51,C,A,83,50,35,D,52,C,E
30,32,89,D,C,29,55,17,D,31,C,D
99,54,88,D,C,64,90,85,B,63,B,C
56,1,71,C,C,80,54,17,B,94,C,C
2,47,60,A,E,35,76,82,C,35,B,C
25,6,28,C,B,3,29,50,C,36,D,B
69,21,63,D,B,56,7,34,B,30,B,B
85,69,8,E,D,31,56,13,D,86,C,A
15,26,13,C,A,35,44,74,B,38,B,D
2,15,88,A,D,64,90,71,D,60,B,A
15,98,74,E,C,50,77,53,C,99,E,A
86,91,82,E,D,76,93,83,A,52,A,A
31,26,67,C,D,83,22,40,A,46,C,C
47,93,21,A,B,72,62,27,C,15,B,B
19,37,51,B,B,60,45,38,C,92,C,C
52,47,6,E,D,31,63,80,B,45,E,D
79,84,81,E,B,31,77,93,C,80,A,A
47,24,91,A,C,42,7,21,B,83,E,C
45,37,97,C,B,56,59,53,E,49,C,C
69,32,23,A,A,81,2,61,E,33,D,A
99,91,45,C,B,50,31,43,B,87,C,A
76,27,58,C,C,16,93,8,C,63,A,B
36,91,42,C,C,26,31,4,E,52,A,B
1,42,34,B,E,70,94,49,A,42,C,C
33,9,68,C,A,87,71,66,A,14,E,D
78,93,37,D,D,12,45,25,D,12,A,B
13,29,51,B,B,35,84,0,D,70,B,C
72,34,91,B,C,91,57,91,B,96,C,D
62,17,14,A,D,8,45,11,C,23,E,A
20,0,19,E,A,17,14,96,C,5,D,D
83,13,9,A,D,69,33,28,D,82,A,C
91,58,10,C,A,56,70,26,C,35,B,C
11,11,15,A,E,26,80,80,E,60,E,E
95,12,87,B,A,57,94,57,D,30,C,C
34,77,26,C,A,56,48,36,B,61,D,D
50,57,35,E,D,89,72,48,D,90,C,C
93,28,37,D,C,20,36,95,D,11,C,D
23,47,27,A,B,40,51,85,C,22,A,A
4,41,5,E,E,54,15,32,C,47,C,D
69,75,36,C,E,51,57,8,D,37,D,C
54,77,71,D,C,40,16,47,E,68,A,D
53,28,54,A,E,78,29,85,E,65,C,B
32,27,11,B,C,69,23,43,A,18,A,B
5,18,52,E,D,70,76,82,E,88,C,B
93,10,40,A,E,4,17,60,B,78,A,E
59,53,33,D,D,86,35,4,D,79,B,D
98,26,97,D,A,25,42,90,D,26,A,E
83,96,23,E,C,77,89,64,B,28,A,A
47,15,57,C,C,67,72,61,C,99,D,D
76,26,61,E,B,13,4,11,E,3,B,C
26,86,15,B,E,47,41,9,B,69,A,B
96,89,75,C,B,99,39,66,C,22,C,E
52,35,84,B,C,88,98,91,D,90,A,A
96,92,86,D,E,58,56,11,C,32,E,C
64,24,8,A,E,68,35,71,A,21,E,C
24,98,75,B,B,94,52,46,A,44,E,E
57,42,7,A,E,8,53,84,B,21,B,A
15,45,2,E,C,80,28,56,B,65,A,C
77,35,3,D,E,35,38,70,A,69,B,D
75,37,73,B,B,75,79,75,D,53,D,C
12,41,17,D,A,32,13,5,A,40,D,D
41,84,50,E,C,19,88,49,E,35,C,D
96,95,17,E,B,44,55,2,C,60,D,B
39,57,77,B,D,62,73,3,C,20,C,E
64,21,80,E,A,40,60,21,C,13,B,C
28,12,76,E,E,31,89,18,C,97,C,A
16,30,29,A,A,50,5,73,C,90,E,E
46,53,40,A,C,85,40,35,D,66,C,E
24,25,23,E,A,11,14,72,A,22,A,B
29,44,51,B,B,17,37,60,D,38,C,B
80,39,40,B,A,52,79,40,C,35,B,C
23,72,8,E,E,40,35,10,A,88,D,D
78,9,97,C,B,96,35,47,B,1,E,C
98,99,65,E,D,79,32,31,A,86,A,B
46,41,88,D,C,48,89,99,D,50,E,B
70,75,76,A,D,83,62,90,D,15,C,D
17,25,90,D,D,24,58,61,D,47,A,E
86,33,76,C,B,20,70,87,B,52,C,E
11,54,14,D,C,75,63,60,D,24,E,E
37,93,7,D,E,9,61,56,C,34,B,D
87,61,61,A,A,66,91,91,A,92,C,A
90,48,54,C,E,69,79,34,A,46,C,B
79,72,67,C,E,1,60,58,D,2,C,D
78,65,51,C,A,35,8,28,A,77,D,E
84,12,62,D,D,8,72,15,E,81,C,A
35,2,14,B,C,79,86,64,D,44,D,D
18,56,8,C,B,87,89,53,B,54,E,B
10,63,94,A,E,47,54,62,B,44,D,C
86,93,31,E,E,32,22,12,B,96,A,C
97,20,88,C,C,24,24,21,D,8,C,A
55,87,92,A,A,94,76,76,C,55,B,B
68,37,16,B,B,19,74,33,E,78,B,A
32,90,20,B,C,23,26,41,C,39,A,A
45,14,77,B,E,77,21,48,E,1,A,C
44,30,8,D,D,9,97,75,E,61,B,A
51,59,15,D,E,74,54,76,A,3,B,D
40,78,12,D,B,55,27,14,A,92,A,A
90,77,32,B,A,72,57,63,B,36,E,B
55,17,48,A,B,98,29,79,A,27,E,B
1,93,86,C,A,16,25,91,E,85,A,E
35,85,12,A,D,71,68,52,B,68,E,C
64,61,14,A,D,17,88,61,D,26,E,B
15,14,54,C,B,11,55,13,C,16,D,C
46,7,49,C,C,32,54,49,B,88,E,D
69,32,40,B,A,34,62,45,D,81,D,B
14,87,90,D,A,69,7,53,E,43,C,B
33,53,74,E,C,63,53,21,B,62,A,B
2,39,37,B,E,12,16,29,A,32,D,C
36,33,4,A,C,46,9,52,A,65,B,C
24,77,92,A,D,7,19,90,E,84,D,E
57,63,57,A,D,90,15,43,D,25,D,D
71,45,17,C,A,30,10,76,A,57,D,D
96,22,10,B,D,79,17,69,E,28,E,E
46,1,9,E,A,91,68,66,C,65,D,E
37,11,7,A,E,93,72,6,E,75,C,A
7,28,95,D,E,19,90,53,E,27,D,E
34,46,54,B,A,50,52,64,A,18,D,B
66,41,90,D,A,58,99,78,E,78,A,A
68,21,57,D,A,18,55,71,E,2,B,C
18,2,30,B,C,19,61,67,A,38,B,C
48,29,95,C,B,3,35,75,E,64,A,A
26,49,2,E,C,6,29,53,E,42,C,C
93,68,73,B,C,8,9,27,B,23,A,B
65,5,2,A,D,26,45,74,A,61,E,E
90,20,75,A,E,86,15,82,E,15,C,B
60,34,55,E,D,90,54,65,C,96,C,A
97,77,68,A,B,87,38,39,C,30,B,D
40,21,91,B,A,59,72,30,D,23,A,E
36,38,44,A,A,12,15,68,C,91,D,B
56,1,27,E,D,71,72,13,A,86,D,B
70,98,9,C,D,47,51,24,E,35,A,A
47,97,76,C,E,43,40,33,A,87,A,E
28,17,82,A,C,19,35,70,A,70,C,E
0,19,13,C,D,61,46,32,B,59,C,C
21,15,27,D,A,69,53,44,E,56,D,B
70,47,36,D,E,16,58,73,C,23,D,E
46,49,76,B,D,75,32,57,C,77,E,E
45,58,30,B,D,45,4,7,E,88,A,A
1,91,61,E,C,13,83,38,A,71,E,D
15,33,65,E,D,49,74,86,C,19,E,A
20,41,31,B,E,45,65,87,B,60,A,C
60,11,48,D,C,35,65,1,A,84,C,C
89,46,8,A,C,60,91,69,D,60,A,A
73,41,33,B,B,91,98,14,C,21,A,A
66,48,64,A,E,98,36,93,C,98,A,E
56,32,35,A,E,55,95,49,A,51,D,C
43,78,74,A,C,12,86,48,E,64,E,D
7,15,69,C,B,99,30,62,D,30,C,C
33,48,9,C,A,52,95,73,D,79,A,C
96,78,20,D,E,23,71,47,C,39,A,C
2,24,8,A,C,23,1,78,E,55,B,D
49,40,41,B,D,40,1,54,B,53,D,D
57,58,11,B,D,38,7,83,C,53,D,B
52,57,69,D,C,19,75,40,B,44,D,B
56,24,29,C,A,83,68,50,B,13,C,A
3,33,18,C,B,49,91,90,B,23,D,B
2,29,58,B,A,17,97,52,B,71,D,B
8,76,19,D,E,51,14,71,E,14,D,C
70,78,25,E,D,71,5,87,E,39,C,D
32,95,96,B,D,60,30,33,D,81,C,E
22,73,18,B,A,59,72,71,B,49,B,B
96,20,40,C,C,86,87,93,E,72,D,A
90,89,14,B,C,1,1,73,D,5,A,D
4,9,19,E,C,43,62,81,E,68,C,C
20,89,57,E,C,8,57,91,E,23,E,C
91,32,69,B,D,94,35,62,D,53,E,B
11,92,79,A,C,58,68,22,A,97,A,D
0,96,28,D,E,79,33,81,C,40,D,A
88,4,8,B,C,27,0,67,D,20,B,B
37,98,23,E,B,61,1,56,E,45,E,E
42,11,77,E,C,51,77,18,E,87,B,B
44,14,4,E,C,46,96,38,D,23,C,A
39,72,9,A,E,18,19,77,E,85,D,E
98,37,58,C,A,59,5,11,E,3,C,C
65,16,14,D,E,20,12,50,A,32,D,D
70,27,64,B,D,31,36,81,B,59,B,B
68,65,99,A,E,45,38,29,A,89,E,C
91,35,50,C,D,50,81,99,E,39,C,D
69,50,55,A,E,4,39,27,A,24,B,C
9,9,84,D,D,49,58,81,A,0,D,C
17,77,67,D,E,57,67,62,C,71,C,C
15,65,4,C,D,45,27,93,B,59,B,A
3,37,67,B,C,27,61,12,A,22,C,A
14,80,87,E,E,48,66,57,D,64,C,E
36,52,3,C,A,83,20,39,C,55,C,C
13,41,78,C,E,8,36,73,E,2,A,D
95,64,36,C,E,90,54,70,D,66,C,D
72,61,58,D,B,4,1,80,E,72,C,D
54,29,18,E,B,32,20,6,B,3,B,D
6,27,50,D,C,80,49,72,C,53,C,E
83,92,96,A,B,77,87,97,B,41,D,D
48,28,31,C,A,8,20,42,D,60,C,B
67,43,88,C,D,73,21,62,C,27,A,B
49,51,18,D,A,28,92,7,D,94,B,A
4,58,43,A,C,50,74,38,A,22,A,A
91,39,46,D,D,59,79,9,B,29,D,C
19,72,89,B,E,16,98,99,E,80,D,A
61,20,84,D,A,6,0,2,B,76,B,B
35,25,70,C,B,93,78,36,E,77,A,B
39,6,70,E,C,91,56,32,B,84,E,D
7,83,51,D,B,95,22,11,E,79,C,D
35,21,87,C,A,75,17,43,E,18,A,D
12,20,25,D,E,48,4,89,A,47,C,E
69,71,31,B,A,83,13,44,A,75,A,A
96,22,67,E,E,73,29,92,A,1,E,A
54,27,24,A,A,84,98,33,A,80,C,E
50,37,85,D,D,59,71,46,C,87,A,C
33,63,39,D,D,23,12,24,E,31,A,D
17,93,12,D,D,45,41,27,A,4,B,E
65,53,95,C,B,65,47,71,B,58,C,C
7,5,91,E,C,70,56,89,A,92,B,A
45,46,44,A,D,77,19,17,A,12,E,B
71,4,13,D,C,8,78,79,C,70,C,D
41,12,23,C,B,8,6,64,B,30,C,B
12,15,78,C,E,18,38,87,D,90,E,B
48,51,73,A,C,38,44,55,A,11,E,E
21,62,5,E,B,98,0,8,D,23,C,C
98,89,49,B,B,30,5,77,E,66,D,C
60,19,83,D,D,66,35,73,A,92,B,C
65,54,18,B,E,61,29,41,C,71,E,C
2,89,20,D,A,39,31,69,E,73,D,D
37,30,69,A,D,2,31,79,A,2,B,C
60,8,37,C,C,57,64,99,B,50,C,B
66,77,69,D,B,67,28,22,D,18,C,D
31,12,37,E,A,77,97,36,D,35,D,D
51,17,16,D,A,78,30,56,C,31,C,C
30,48,99,E,E,65,78,82,A,58,A,D
88,30,39,E,A,48,48,76,D,64,B,B
77,44,83,A,E,76,9,98,A,66,D,D
83,76,52,B,C,95,74,72,A,74,A,C
96,58,35,D,B,21,52,34,C,54,C,A
6,63,13,D,A,7,69,70,D,11,E,E
44,26,32,A,C,59,52,66,E,10,E,C
94,30,65,D,C,64,26,1,E,96,A,B
51,81,22,D,D,58,63,87,C,76,B,C
12,30,97,B,E,69,44,22,C,53,E,A
28,34,77,D,B,13,39,28,A,35,E,E
18,37,53,A,D,66,1,85,C,68,A,B
69,83,42,C,C,38,49,93,E,41,B,C
21,97,9,C,B,24,0,38,E,9,E,B
95,42,12,B,C,21,37,48,E,90,B,C
93,28,60,A,C,72,77,43,E,56,D,E
94,94,44,E,D,70,73,86,A,74,D,C
3,83,33,E,C,5,66,99,E,6,A,D
84,43,98,B,C,22,86,75,C,99,A,A
28,86,78,B,A,9,86,1,B,89,E,C
13,84,0,D,C,63,56,28,A,58,B,B
35,23,32,A,E,87,38,29,C,20,A,E
1,32,97,C,D,72,7,84,A,98,E,D
95,94,72,C,A,56,25,97,C,94,D,B
80,9,1,D,D,25,89,66,A,51,E,E
16,20,74,E,B,75,76,99,E,76,B,E
98,58,56,A,E,8,43,91,B,6,B,C
98,56,7,D,E,84,73,0,D,65,B,C
94,21,17,C,E,41,19,38,A,17,B,E
85,82,10,A,C,31,32,39,A,24,E,B
51,57,52,D,B,92,96,92,D,4,C,A
68,61,73,D,B,21,89,11,A,0,B,E
65,42,70,D,D,70,5,36,A,53,E,D
15,88,57,A,C,75,43,24,B,75,D,D
83,51,5,A,D,47,6,22,D,14,B,C
74,16,64,A,B,30,50,92,A,40,A,A
84,24,57,B,A,85,58,82,C,31,A,E
17,9,15,D,A,99,75,66,E,52,A,C
79,13,25,B,E,19,75,54,D,60,B,D
98,0,16,A,A,40,63,67,D,44,E,A
40,67,34,D,B,64,3,5,E,6,D,E
88,85,87,B,E,86,46,71,B,7,E,E
67,80,5,C,B,59,2,12,C,80,A,C
35,72,60,E,C,63,1,94,E,96,D,A
57,66,13,C,E,9,97,16,A,48,A,B
80,81,54,B,A,82,57,81,B,44,C,C
43,92,49,D,B,14,13,17,A,98,C,A
74,17,69,B,B,27,51,87,B,19,A,A
66,29,24,D,C,54,37,97,E,31,D,B
33,59,6,A,A,77,89,67,C,26,D,A
82,27,18,C,C,23,29,82,C,79,C,B
18,33,39,C,C,8,62,25,D,25,C,A
99,44,51,E,E,32,50,88,B,71,B,C
98,30,74,B,A,52,57,81,E,63,E,E
88,88,20,D,E,45,31,5,B,41,C,C
58,30,82,A,D,63,40,45,B,20,C,A
61,69,84,D,B,86,78,64,C,64,B,B
95,51,42,B,E,13,39,74,D,5,A,B
18,72,3,C,D,61,39,46,D,83,E,C
84,83,64,A,D,20,69,89,D,13,C,B
34,57,75,C,A,62,22,60,C,98,B,A
58,94,12,A,D,54,45,9,A,55,E,C
28,24,6,D,E,72,89,56,D,40,C,E
89,90,55,C,D,38,68,93,B,77,A,A
66,50,50,C,A,77,63,16,A,46,B,B
76,99,64,C,C,99,70,67,A,97,D,A
72,15,23,E,C,20,40,43,E,60,B,C
15,32,27,B,D,17,7,75,C,59,B,C
79,72,46,B,C,88,49,81,D,27,A,D
71,63,63,A,E,76,41,62,E,3,B,D
37,90,59,B,D,12,41,59,B,19,B,B
28,76,16,E,C,44,48,53,E,78,B,C
18,62,39,A,E,83,6,46,A,30,C,D
37,65,45,A,B,58,14,3,A,15,B,C
11,99,83,D,D,64,18,85,E,81,D,A
80,74,60,C,D,16,67,12,C,27,A,C
15,54,22,A,A,98,37,34,C,29,B,B
13,20,43,D,A,34,41,67,D,59,D,A
69,31,66,A,A,32,57,54,A,86,E,C
58,49,88,E,D,9,33,6,E,90,A,A
28,53,4,A,E,9,41,42,C,31,E,D
90,23,19,A,C,88,91,3,B,63,A,E
12,50,84,C,D,36,36,17,E,63,D,B
40,76,81,B,B,1,71,75,D,31,E,E
4,4,57,C,E,8,27,43,A,26,C,C
29,92,57,A,B,40,20,68,D,75,D,A
15,39,11,A,A,32,21,31,A,53,E,D
86,70,95,B,C,17,88,71,D,34,C,A
65,13,44,D,E,4,97,73,B,90,E,A
1,5,77,A,B,8,43,70,D,18,E,B
33,69,95,A,A,45,9,85,A,32,D,C
7,91,87,C,E,14,62,64,D,99,A,C
18,85,91,C,B,81,9,1,E,64,D,D
79,43,12,D,E,0,67,95,B,59,E,A
23,88,54,A,C,10,70,23,C,22,B,D
62,5,41,A,C,42,52,77,D,74,A,B
85,5,76,A,E,52,5,62,B,29,A,E
75,36,23,C,C,71,3,49,A,73,A,A
70,79,16,C,C,30,82,32,C,50,D,E
85,3,5,A,C,16,42,28,C,75,B,E
14,51,98,B,E,4,85,88,E,8,D,A
65,29,34,D,B,49,41,15,B,47,C,D
27,4,82,B,B,80,75,91,B,0,E,A
19,47,54,E,D,78,79,44,E,20,A,B
70,63,4,B,B,79,11,94,E,83,B,D
81,14,48,E,C,36,87,35,A,16,E,E
31,57,95,C,B,14,41,44,D,15,E,C
23,87,59,B,A,86,95,7,D,37,A,E
77,77,71,E,D,60,80,9,D,91,B,A
99,54,23,A,D,88,38,6,E,55,A,A
17,18,17,E,D,50,88,44,B,47,B,E
15,97,77,A,C,34,89,96,E,64,D,E
99,18,37,A,C,89,73,8,A,57,D,E
36,15,16,A,E,47,62,67,E,12,E,C
58,34,91,A,E,17,6,64,E,19,E,E
32,41,8,D,E,23,55,97,C,95,B,B
73,86,13,B,A,86,5,25,B,64,E,C
1,53,79,C,B,9,81,61,B,85,D,D
63,3,57,B,D,35,46,36,C,41,E,E
59,15,50,A,A,65,56,86,D,34,C,C
28,50,51,E,A,52,37,30,E,13,E,A
68,66,61,B,C,56,79,71,C,34,A,E
73,0,81,A,A,37,81,28,D,2,D,B
97,60,43,C,E,21,36,75,D,5,A,E
49,89,51,B,C,42,19,53,B,54,A,B
93,7,42,E,D,20,57,16,A,61,A,A
84,56,55,A,B,10,98,50,C,81,D,C
32,16,76,C,A,78,23,43,C,98,E,B
55,63,7,D,B,18,72,85,C,40,C,C
67,17,10,D,E,38,15,54,A,89,B,A
53,70,6,C,E,84,47,65,C,34,E,E
7,17,20,B,A,11,72,17,E,99,A,A
3,60,36,D,A,88,54,34,E,54,C,E
29,99,72,D,A,35,4,49,A,58,E,C
89,84,8,A,B,22,49,77,C,73,C,B
67,87,43,B,D,61,29,53,C,50,A,D
85,51,63,A,D,54,33,78,E,87,B,D
11,23,34,B,D,76,89,28,E,64,A,D
60,6,44,A,E,30,37,62,E,72,C,C
78,91,21,A,E,39,15,30,C,20,A,E
15,54,70,B,C,91,93,73,C,77,E,D
24,77,79,A,A,79,54,23,E,71,D,B
22,47,6,D,D,41,9,14,A,11,E,E
93,36,43,E,B,16,50,0,B,96,D,E
